18,60,18,60,-1,1
18,60,20,60,0,1
20,60,40,52,1740,26
40,52,40,50,0,1
40,50,40,48,0,1
40,48,30,30,0,26
30,30,30,30,0,450
30,30,30,30,0,0
30,30,40,48,818,26
40,48,40,50,0,1
40,50,40,52,0,1
40,52,58,60,54,25
58,60,60,60,0,1
60,60,62,60,0,1
62,60,98,60,1505,29
98,60,100,60,0,1
100,60,102,60,0,1
102,60,120,52,0,25
120,52,120,50,0,1
120,50,120,48,0,1
120,48,130,40,0,26
130,40,130,40,0,60
130,40,130,40,0,0
130,40,120,48,2460,26
120,48,120,50,0,1
120,50,120,52,0,1
120,52,102,60,0,25
102,60,100,60,0,1
100,60,98,60,0,1
98,60,80,68,0,25
80,68,80,70,0,1
80,70,80,72,0,1
80,72,90,80,0,26
90,80,90,80,0,110
90,80,90,80,0,0
90,80,80,72,1612,26
80,72,80,70,0,1
80,70,80,68,0,1
80,68,98,60,31,25
98,60,100,60,0,1
100,60,102,60,0,1
102,60,120,68,0,25
120,68,120,70,0,1
120,70,120,72,0,1
120,72,110,80,0,26
110,80,110,80,0,100
110,80,110,80,0,0
110,80,120,72,1059,26
120,72,120,70,0,1
120,70,120,68,0,1
120,68,102,60,258,25
102,60,100,60,0,1
100,60,98,60,0,1
98,60,80,68,0,25
80,68,80,70,0,1
80,70,80,72,0,1
80,72,70,80,0,26
70,80,70,80,0,510
70,80,70,80,0,0
70,80,90,100,2164,31
90,100,90,100,0,20
90,100,90,100,0,0
90,100,80,72,1638,30
80,72,80,70,0,1
80,70,80,68,0,1
80,68,98,60,31,25
98,60,100,60,0,1
100,60,102,60,0,1
102,60,140,60,0,30
140,60,142,60,0,1
18,60,18,60,-1,1
18,60,20,60,0,1
20,60,40,52,2262,26
40,52,40,50,0,1
40,50,40,48,0,1
40,48,50,20,0,30
50,20,50,20,0,450
50,20,50,20,0,0
50,20,40,48,0,30
40,48,40,50,0,1
40,50,40,52,0,1
40,52,58,60,19,25
58,60,60,60,0,1
60,60,62,60,0,1
62,60,98,60,2179,29
98,60,100,60,0,1
100,60,102,60,0,1
102,60,120,52,0,25
120,52,120,50,0,1
120,50,120,48,0,1
120,48,130,40,0,26
130,40,130,40,0,60
130,40,130,40,0,0
130,40,120,48,1712,26
120,48,120,50,0,1
120,50,120,52,0,1
120,52,102,60,823,25
102,60,100,60,0,1
100,60,98,60,0,1
98,60,80,52,0,25
80,52,80,50,0,1
80,50,80,48,0,1
80,48,70,40,0,26
70,40,70,40,0,110
70,40,70,40,0,0
70,40,80,48,1100,26
80,48,80,50,0,1
80,50,80,52,0,1
80,52,98,60,0,25
98,60,100,60,0,1
100,60,102,60,0,1
102,60,120,52,0,25
120,52,120,50,0,1
120,50,120,48,0,1
120,48,110,30,0,26
110,30,110,30,0,100
110,30,110,30,0,0
110,30,120,48,1645,26
120,48,120,50,0,1
120,50,120,52,0,1
120,52,102,60,0,25
102,60,100,60,0,1
100,60,98,60,0,1
98,60,80,68,0,25
80,68,80,70,0,1
80,70,80,72,0,1
80,72,70,80,0,26
70,80,70,80,0,510
70,80,70,80,0,0
70,80,90,80,1685,27
90,80,90,80,12,20
90,80,90,80,0,0
90,80,80,72,1621,26
80,72,80,70,0,1
80,70,80,68,0,1
80,68,98,60,27,25
98,60,100,60,0,1
100,60,102,60,0,1
102,60,140,60,5,30
140,60,142,60,0,1
18,60,18,60,-1,1
18,60,20,60,0,1
20,60,40,52,2120,26
40,52,40,50,0,1
40,50,40,48,0,1
40,48,50,40,0,26
50,40,50,40,163,450
50,40,50,40,0,0
50,40,40,48,0,26
40,48,40,50,0,1
40,50,40,52,0,1
40,52,58,60,0,25
58,60,60,60,0,1
60,60,62,60,0,1
62,60,98,60,2310,29
98,60,100,60,0,1
100,60,102,60,0,1
102,60,120,68,0,25
120,68,120,70,0,1
120,70,120,72,0,1
120,72,110,80,0,26
110,80,110,80,0,60
110,80,110,80,0,0
110,80,120,72,469,26
120,72,120,70,0,1
120,70,120,68,0,1
120,68,102,60,1944,25
102,60,100,60,0,1
100,60,98,60,0,1
98,60,80,68,0,25
80,68,80,70,0,1
80,70,80,72,0,1
80,72,90,80,0,26
90,80,90,80,0,110
90,80,90,80,0,0
90,80,80,72,998,26
80,72,80,70,0,1
80,70,80,68,0,1
80,68,98,60,11,25
98,60,100,60,0,1
100,60,102,60,0,1
102,60,120,52,10,25
120,52,120,50,0,1
120,50,120,48,0,1
120,48,110,30,0,26
110,30,110,30,0,100
110,30,110,30,0,0
110,30,120,48,1693,26
120,48,120,50,0,1
120,50,120,52,0,1
120,52,102,60,29,25
102,60,100,60,0,1
100,60,98,60,0,1
98,60,80,68,4,25
80,68,80,70,0,1
80,70,80,72,0,1
80,72,70,100,0,30
70,100,70,100,0,510
70,100,70,100,0,0
70,100,90,100,1556,27
90,100,90,100,0,20
90,100,90,100,0,0
90,100,80,72,1646,30
80,72,80,70,0,1
80,70,80,68,0,1
80,68,98,60,44,25
98,60,100,60,0,1
100,60,102,60,0,1
102,60,140,60,15,30
140,60,142,60,0,1
18,60,18,60,-1,1
18,60,20,60,0,1
20,60,40,52,603,26
40,52,40,50,0,1
40,50,40,48,0,1
40,48,50,20,0,30
50,20,50,20,112,450
50,20,50,20,0,0
50,20,40,48,2418,30
40,48,40,50,0,1
40,50,40,52,0,1
40,52,58,60,0,25
58,60,60,60,0,1
60,60,62,60,0,1
62,60,98,60,3,29
98,60,100,60,0,1
100,60,102,60,0,1
102,60,120,52,0,25
120,52,120,50,0,1
120,50,120,48,0,1
120,48,130,40,0,26
130,40,130,40,0,60
130,40,130,40,0,0
130,40,120,48,1152,26
120,48,120,50,0,1
120,50,120,52,0,1
120,52,102,60,1050,25
102,60,100,60,0,1
100,60,98,60,0,1
98,60,80,52,4,25
80,52,80,50,0,1
80,50,80,48,0,1
80,48,70,20,0,30
70,20,70,20,0,110
70,20,70,20,0,0
70,20,80,48,807,30
80,48,80,50,0,1
80,50,80,52,0,1
80,52,98,60,227,25
98,60,100,60,0,1
100,60,102,60,0,1
102,60,120,68,5,25
120,68,120,70,0,1
120,70,120,72,0,1
120,72,110,80,0,26
110,80,110,80,0,100
110,80,110,80,0,0
110,80,120,72,1411,26
120,72,120,70,0,1
120,70,120,68,0,1
120,68,102,60,653,25
102,60,100,60,0,1
100,60,98,60,0,1
98,60,80,68,0,25
80,68,80,70,0,1
80,70,80,72,0,1
80,72,70,100,0,30
70,100,70,100,3,510
70,100,70,100,0,0
70,100,90,100,1386,27
90,100,90,100,0,20
90,100,90,100,0,0
90,100,80,72,2005,30
80,72,80,70,0,1
